ID,Tipo,SKU,Nombre,Publicado(0/1),¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Estado del impuesto,Clase de impuesto,¿En inventario? (0/1),Inventario ,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo talla,Atributo visible talla,Atributo global talla,Atributo por defecto talla,Nombre del atributo 2,Valor(es) del atributo talla,Atributo visible talla,Atributo global talla,Atributo por defecto talla
16012S,variation,,SHORT DRILL REATA EN COSTADOS - S,1,,visible,,,taxable,parent,1,3,,,,,,75000,SHORT Y PANTALON,,,,,Talla,S,,,,color,NARANJA NEÓN,,,
16012M,variation,,SHORT DRILL REATA EN COSTADOS - M,1,,visible,,,taxable,parent,1,4,,,,,,75000,SHORT Y PANTALON,,,,,Talla,M,,,,color,NARANJA NEÓN,,,
16012L,variation,,SHORT DRILL REATA EN COSTADOS - L,1,,visible,,,taxable,parent,1,3,,,,,,75000,SHORT Y PANTALON,,,,,Talla,L,,,,color,NARANJA NEÓN,,,
13225,variable,,CHOMPA RANGLAN CON REATA AMARILLA ,1,,visible,,"Chompa en perchado con manga ranglan en combinación de color, reata en frente con ajuste en costados",taxable,parent,1,1,,,,,,,BUZOS Y CHOMPAS,,,13225F/ 13225C/ 13225F2/ 13225FP,,Talla,"S,M,L",1,,M,color,GRIS,1,,
13225S,variation,,CHOMPA RANGLAN CON REATA AMARILLA - S,1,,visible,,,taxable,parent,1,2,,,,,,85000,BUZOS Y CHOMPAS,,,,,Talla,S,,,,color,GRIS,,,
13225M,variation,,CHOMPA RANGLAN CON REATA AMARILLA - M,1,,visible,,,taxable,parent,1,1,,,,,,85000,BUZOS Y CHOMPAS,,,,,Talla,M,,,,color,GRIS,,,
13225L,variation,,CHOMPA RANGLAN CON REATA AMARILLA - L,1,,visible,,,taxable,parent,1,2,,,,,,85000,BUZOS Y CHOMPAS,,,,,Talla,L,,,,color,GRIS,,,
16013,variable,,SHORT PERCHADO JASPE-AMARILLO,1,,visible,,"Short en perchado concorte en costado en contraste de color y base de tela, bolsillos en costado y bolsillo de parche en posterior, con elástico en cintura y cordón elástico para ajuste.",taxable,parent,1,,,,,,,,SHORT Y PANTALON,,,16013F/ 16013C/ 16013C2/ 16013DP/ 16013PP,,Talla,"S,M,L",1,,M,color,GRIS,1,,
16013S,variation,,SHORT PERCHADO JASPE-AMARILLO - S,1,,visible,,,taxable,parent,1,1,,,,,,55000,SHORT Y PANTALON,,,,,Talla,S,,,,color,GRIS,,,
16013S,variation,,SHORT PERCHADO JASPE-AMARILLO - M,1,,visible,,,taxable,parent,0,0,,,,,,55000,SHORT Y PANTALON,,,,,Talla,M,,,,color,GRIS,,,
16013S,variation,,SHORT PERCHADO JASPE-AMARILLO - L,1,,visible,,,taxable,parent,1,1,,,,,,55000,SHORT Y PANTALON,,,,,Talla,L,,,,color,GRIS,,,
17004,variable,,ENTERIZO CORTO CRUZADO,1,,visible,,"Enterizo en bruda liviana, con frente cruzado y short corto, bolssillo en costados, elástico en cintura  y abertura en costados",taxable,parent,1,,,,,,,,SHORT Y PANTALON,,,17004F1/ 17004F2/ 17004C/ 17004F/ 17004FP,,Talla,"S,M,L",1,,M,color,GRIS,1,,
17004S,variation,,ENTERIZO CORTO CRUZADO - S,1,,visible,,,taxable,parent,1,4,,,,,,60000,SHORT Y PANTALON,,,,,Talla,S,,,,color,GRIS,,,
17004M,variation,,ENTERIZO CORTO CRUZADO - M,1,,visible,,,taxable,parent,1,2,,,,,,60000,SHORT Y PANTALON,,,,,Talla,M,,,,color,GRIS,,,
17004L,variation,,ENTERIZO CORTO CRUZADO - L,1,,visible,,,taxable,parent,1,4,,,,,,60000,SHORT Y PANTALON,,,,,Talla,L,,,,color,GRIS,,,
13224,variable,,CHOMPA MALLA NEGRA,1,,visible,,"Chompa en malla negra con puño y cuello en tejido y contraste de linea en blanco y verde, bolsillos en costados y cierre en nylón",taxable,parent,1,,,,,,,,BUZOS Y CHOMPAS,,,13224F2/ 13224C/ 13224F/ 13224FP,,Talla,"S,M,L",1,,M,color,NEGRO,1,,
13224S,variation,,CHOMPA MALLA NEGRA -S ,1,,visible,,,taxable,parent,1,1,,,,,,95000,BUZOS Y CHOMPAS,,,,,Talla,S,,,,color,NEGRO,,,
13224M,variation,,CHOMPA MALLA NEGRA - M,1,,visible,,,taxable,parent,1,2,,,,,,95000,BUZOS Y CHOMPAS,,,,,Talla,M,,,,color,NEGRO,,,
13224L,variation,,CHOMPA MALLA NEGRA - L,1,,visible,,,taxable,parent,1,6,,,,,,95000,BUZOS Y CHOMPAS,,,,,Talla,L,,,,color,NEGRO,,,
16012,variable,,SUDADERA BOLSILLO CON REATA,1,,visible,,"Sudadera en antifluido con bolsillos en costados y bolsillos posteriores con reata, elástico en botas y pretina con cordón ajustable.",taxable,parent,1,,,,,,,,SHORT Y PANTALON,,,16012D/ 16012P/ 16012DN / 16012PN/ 16012FN / 16012CN,,Talla,"S,M,L",1,,M,color,"NEGRO, ESTAMPADO MILITAR GRIS",1,,
16012S,variation,,SUDADERA BOLSILLO CON REATA - S,1,,visible,,,taxable,parent,0,0,,,,,,75000,SHORT Y PANTALON,,,,,Talla,S,,,,color,NEGRO,,,
16012M,variation,,SUDADERA BOLSILLO CON REATA - M,1,,visible,,,taxable,parent,1,1,,,,,,75000,SHORT Y PANTALON,,,,,Talla,M,,,,color,NEGRO,,,
16012L,variation,,SUDADERA BOLSILLO CON REATA - L,1,,visible,,,taxable,parent,1,1,,,,,,75000,SHORT Y PANTALON,,,,,Talla,L,,,,color,NEGRO,,,
16012SESTAM,variation,,SUDADERA BOLSILLO CON REATA ESTAMPADO - S,1,,visible,,,taxable,parent,0,0,,,,,,75000,SHORT Y PANTALON,,,,,Talla,S,,,,color,ESTAMPADO MILITAR GRIS,,,
16012MESTAM,variation,,SUDADERA BOLSILLO CON REATA ESTAMPADO - M,1,,visible,,,taxable,parent,1,2,,,,,,75000,SHORT Y PANTALON,,,,,Talla,M,,,,color,ESTAMPADO MILITAR GRIS,,,
16012LESTAM,variation,,SUDADERA BOLSILLO CON REATA ESTAMPADO - L,1,,visible,,,taxable,parent,1,3,,,,,,75000,SHORT Y PANTALON,,,,,Talla,L,,,,color,ESTAMPADO MILITAR GRIS,,,
13228,variable,,CHOMPA BOLSILLO EN MANGA CON REATA,1,,visible,,"Chompa en antifluido forrada en malla, con bolsillo en manga y reata sobrepuesta, bolsillos laterales y elastico en cintura y puños.",taxable,parent,1,,,,,,,,BUZOS Y CHOMPAS,,,13228F/ 13228E/ 13228FN/ 13228CN/ 13228CN,,Talla,"S,M,L",1,,M,color,"NEGRO, ESTAMPADO MILITAR GRIS",1,,
13228S,variation,,CHOMPA BOLSILLO EN MANGA CON REATA - S,1,,visible,,,taxable,parent,1,1,,,,,,95000,BUZOS Y CHOMPAS,,,,,Talla,S,,,,color,NEGRO,,,
13228M,variation,,CHOMPA BOLSILLO EN MANGA CON REATA - M,1,,visible,,,taxable,parent,1,3,,,,,,95000,BUZOS Y CHOMPAS,,,,,Talla,M,,,,color,NEGRO,,,
13228L,variation,,CHOMPA BOLSILLO EN MANGA CON REATA - L,1,,visible,,,taxable,parent,1,3,,,,,,95000,BUZOS Y CHOMPAS,,,,,Talla,L,,,,color,NEGRO,,,
13228SESTAM,variation,,CHOMPA BOLSILLO EN MANGA CON REATA ESTAM - S,1,,visible,,,taxable,parent,1,1,,,,,,95000,BUZOS Y CHOMPAS,,,,,Talla,S,,,,color,ESTAMPADO MILITAR GRIS,,,
13228MESTAM,variation,,CHOMPA BOLSILLO EN MANGA CON REATA ESTAM - M,1,,visible,,,taxable,parent,1,2,,,,,,95000,BUZOS Y CHOMPAS,,,,,Talla,M,,,,color,ESTAMPADO MILITAR GRIS,,,
13228LESTAM,variation,,CHOMPA BOLSILLO EN MANGA CON REATA ESTAM - L,1,,visible,,,taxable,parent,1,3,,,,,,95000,BUZOS Y CHOMPAS,,,,,Talla,L,,,,color,ESTAMPADO MILITAR GRIS,,,
11018,variable,,CROP MALLA BASIC,1,,visible,,Crop en malla con ruedo de manga en material tejido y estampado en alto relieve diagonal del cuello.,taxable,parent,1,,,,,,,,TOPS Y CAMISETAS,,,11018F/ 11018E / 11018FN,,Talla,"S,M,L",1,,M,color,"NEGRO,ROJO",1,,
11018SR,variation,,CROP MALLA BASIC ROJO - S,1,,visible,,,taxable,parent,1,2,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,S,,,,color,ROJO,,,
11018MR,variation,,CROP MALLA BASIC ROJO - M,1,,visible,,,taxable,parent,1,1,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,M,,,,color,ROJO,,,
11018LR,variation,,CROP MALLA BASIC ROJO - L,1,,visible,,,taxable,parent,1,1,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,L,,,,color,ROJO,,,
11018SN,variation,,CROP MALLA BASIC NEGRO - S,1,,visible,,,taxable,parent,1,2,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,S,,,,color,NEGRO,,,
11018MN,variation,,CROP MALLA BASIC NEGRO - M,1,,visible,,,taxable,parent,1,1,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,M,,,,color,NEGRO,,,
11018LN,variation,,CROP MALLA BASIC NEGRO - L,1,,visible,,,taxable,parent,1,1,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,L,,,,color,NEGRO,,,
11020,variable,,CAMIBUZO ALGODÓN ,1,,visible,,"Camibuzo corto,con elástico contramarcado con POLEMIK, en ruedo y maquilla banderin en ruedo de mangas.",taxable,parent,1,,,,,,,,TOPS Y CAMISETAS,,,11020FNJ/ 11020FN/ 11020FG/ 1020FNJ/ 11020FN2,,Talla,"S,M,L",1,,M,color,"NEGRO, GRIS, NARANJA",1,,
11020SN,variation,,CAMIBUZO ALGODÓN NEGRO - S,1,,visible,,,taxable,parent,0,0,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,S,,,,color,NEGRO,,,
11020MN,variation,,CAMIBUZO ALGODÓN NEGRO - M,1,,visible,,,taxable,parent,1,1,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,M,,,,color,NEGRO,,,
11020LN,variation,,CAMIBUZO ALGODÓN NEGRO - L,1,,visible,,,taxable,parent,1,2,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,L,,,,color,NEGRO,,,
11020SG,variation,,CAMIBUZO ALGODÓN GRIS - S,1,,visible,,,taxable,parent,0,0,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,S,,,,color,GRIS,,,
11020MG,variation,,CAMIBUZO ALGODÓN GRIS - M,1,,visible,,,taxable,parent,1,2,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,M,,,,color,GRIS,,,
11020LG,variation,,CAMIBUZO ALGODÓN GRIS - L,1,,visible,,,taxable,parent,1,1,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,L,,,,color,GRIS,,,
11020SNJ,variation,,CAMIBUZO ALGODÓN NARANJA - S,1,,visible,,,taxable,parent,1,1,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,S,,,,color,NARANJA,,,
11020MNJ,variation,,CAMIBUZO ALGODÓN NARANJA - M,1,,visible,,,taxable,parent,1,2,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,M,,,,color,NARANJA,,,
11020LNJ,variation,,CAMIBUZO ALGODÓN NARANJA - L,1,,visible,,,taxable,parent,1,2,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,L,,,,color,NARANJA,,,
16010,variable,,SHORT TIRO ALTO EN DRILL,1,,visible,,"Short tiro alto en drll strech, bolsillo a los costados, pinza en cadera y charretera a los costados, con garra en cuerina en la parte superior en la pretina.",taxable,parent,1,,,,,,,,SHORT Y PANTALON,0,,16010-DEL/ 16010POST/ 16010DEL2/ 16010FP/ 16010FP2,,Talla,"S,M,L",1,,M,color,"NEGRO, AZUL, ESTAMPADO MILITAR VERDE",1,,
16010SN,variation,,SHORT TIRO ALTO EN DRILL NEGRO - S,1,,visible,,,taxable,parent,1,2,,,,,,65000,SHORT Y PANTALON,,,,,Talla,S,,,,color,NEGRO,,,
16010MN,variation,,SHORT TIRO ALTO EN DRILL NEGRO - M,1,,visible,,,taxable,parent,1,2,,,,,,65000,SHORT Y PANTALON,,,,,Talla,M,,,,color,NEGRO,,,
16010LN,variation,,SHORT TIRO ALTO EN DRILL NEGRO - L,1,,visible,,,taxable,parent,1,1,,,,,,65000,SHORT Y PANTALON,,,,,Talla,L,,,,color,NEGRO,,,
16010SEST,variation,,SHORT TIRO ALTO EN DRILL ESTAMPADO - S,1,,visible,,,taxable,parent,1,1,,,,,,65000,SHORT Y PANTALON,,,,,Talla,S,,,,color,ESTAMPADO MILITAR VERDE,,,
16010MEST,variation,,SHORT TIRO ALTO EN DRILL ESTAMPADO - M,1,,visible,,,taxable,parent,1,3,,,,,,65000,SHORT Y PANTALON,,,,,Talla,M,,,,color,ESTAMPADO MILITAR VERDE,,,
16010LEST,variation,,SHORT TIRO ALTO EN DRILL ESTAMPADO - L,1,,visible,,,taxable,parent,0,0,,,,,,65000,SHORT Y PANTALON,,,,,Talla,L,,,,color,ESTAMPADO MILITAR VERDE,,,
16010SAZ,variation,,SHORT TIRO ALTO EN DRILL AZUL - S,1,,visible,,,taxable,parent,1,1,,,,,,65000,SHORT Y PANTALON,,,,,Talla,S,,,,color,AZUL,,,
16010MAZ,variation,,SHORT TIRO ALTO EN DRILL AZUL - M,1,,visible,,,taxable,parent,1,1,,,,,,65000,SHORT Y PANTALON,,,,,Talla,M,,,,color,AZUL,,,
16010LAZ,variation,,SHORT TIRO ALTO EN DRILL AZUL - L,1,,visible,,,taxable,parent,1,2,,,,,,65000,SHORT Y PANTALON,,,,,Talla,L,,,,color,AZUL,,,
14013,variable,,VESTIDO CUELLO ALTO ESPALDA ESCOTADA,1,,visible,,"Vestido en algodón, cuello alto con tira de amarre ajustable, espalda escotada y estampado alto relieve en frente.",taxable,parent,1,,,,,,,,VESTIDOS,,,14013F/ 14013F1/ 14013F2/ 14013F3,,Talla,"S,M,L",1,,M,color,"NEGRO, GRIS",1,,
14013SN,variation,,VESTIDO CUELLO ALTO ESPALDA ESCOTADA NEGRO - S,1,,visible,,,taxable,parent,1,1,,,,,,60000,VESTIDOS,,,,,Talla,S,,,,color,NEGRO,,,
14013MN,variation,,VESTIDO CUELLO ALTO ESPALDA ESCOTADA NEGRO - M,1,,visible,,,taxable,parent,1,2,,,,,,60000,VESTIDOS,,,,,Talla,M,,,,color,NEGRO,,,
14013LN,variation,,VESTIDO CUELLO ALTO ESPALDA ESCOTADA NEGRO - L,1,,visible,,,taxable,parent,1,4,,,,,,60000,VESTIDOS,,,,,Talla,L,,,,color,NEGRO,,,
14013SG,variation,,VESTIDO CUELLO ALTO ESPALDA ESCOTADA GRIS - S,1,,visible,,,taxable,parent,1,3,,,,,,60000,VESTIDOS,,,,,Talla,S,,,,color,GRIS,,,
14013MG,variation,,VESTIDO CUELLO ALTO ESPALDA ESCOTADA GRIS - M,1,,visible,,,taxable,parent,1,3,,,,,,60000,VESTIDOS,,,,,Talla,M,,,,color,GRIS,,,
14013LG,variation,,VESTIDO CUELLO ALTO ESPALDA ESCOTADA GRIS - L,1,,visible,,,taxable,parent,1,4,,,,,,60000,VESTIDOS,,,,,Talla,L,,,,color,GRIS,,,
11021,variable,,CROP OVER SIZE TIE DYE,1,,visible,,"Crop en algodón, fit over size y efecto tie dye hecho a mano.",taxable,parent,1,,,,,,,,TOPS Y CAMISETAS,,,11021FO/ 11021FE/ 11021/ 11021F/ 11021FR,,Talla,"S,M,L",1,,M,color,"NEGRO, ROJO, NARANJA",1,,
11021SN,variation,,CROP OVER SIZE TIE DYE NEGRA - S,1,,visible,,,taxable,parent,0,0,,,,,,70000,TOPS Y CAMISETAS,,,,,Talla,S,,,,color,NEGRO,,,
11021MN,variation,,CROP OVER SIZE TIE DYE NEGRA - M,1,,visible,,,taxable,parent,0,0,,,,,,70000,TOPS Y CAMISETAS,,,,,Talla,M,,,,color,NEGRO,,,
11021LN,variation,,CROP OVER SIZE TIE DYE NEGRA - L,1,,visible,,,taxable,parent,1,1,,,,,,70000,TOPS Y CAMISETAS,,,,,Talla,L,,,,color,NEGRO,,,
11021SR,variation,,CROP OVER SIZE TIE DYE ROJA - S,1,,visible,,,taxable,parent,1,1,,,,,,70000,TOPS Y CAMISETAS,,,,,Talla,S,,,,color,ROJO,,,
11021MR,variation,,CROP OVER SIZE TIE DYE ROJA - M,1,,visible,,,taxable,parent,1,3,,,,,,70000,TOPS Y CAMISETAS,,,,,Talla,M,,,,color,ROJO,,,
11021LR,variation,,CROP OVER SIZE TIE DYE ROJA - L,1,,visible,,,taxable,parent,1,0,,,,,,70000,TOPS Y CAMISETAS,,,,,Talla,L,,,,color,ROJO,,,
11021SNJ,variation,,CROP OVER SIZE TIE DYE NARANJA - S,1,,visible,,,taxable,parent,1,1,,,,,,70000,TOPS Y CAMISETAS,,,,,Talla,S,,,,color,NARANJA,,,
11021MNJ,variation,,CROP OVER SIZE TIE DYE NARANJA - M,1,,visible,,,taxable,parent,1,0,,,,,,70000,TOPS Y CAMISETAS,,,,,Talla,M,,,,color,NARANJA,,,
11021LNJ,variation,,CROP OVER SIZE TIE DYE NARANJA - L,1,,visible,,,taxable,parent,1,1,,,,,,70000,TOPS Y CAMISETAS,,,,,Talla,L,,,,color,NARANJA,,,
23002,variable,,PANTY TIPO TANGA ,1,,visible,,"Panty en lycra tipo tanga, con elástico en cintura contramarcado con POLEMIK.",taxable,parent,1,,,,,,,,SHORT Y PANTALON,,,23002F/ 23002P/ 23002P2/ 23002DP,,Talla,"S,M,L",1,,M,color,"NEGRO, BLANCO",1,,
23002SN,variation,,PANTY TIPO TANGA NEGRA - S,1,,visible,,,taxable,parent,1,3,,,,,,28000,SHORT Y PANTALON,,,,,Talla,S,,,,color,NEGRO,,,
23002MN,variation,,PANTY TIPO TANGA NEGRA - M,1,,visible,,,taxable,parent,1,3,,,,,,28000,SHORT Y PANTALON,,,,,Talla,M,,,,color,NEGRO,,,
23002LN,variation,,PANTY TIPO TANGA NEGRA - L,1,,visible,,,taxable,parent,1,4,,,,,,28000,SHORT Y PANTALON,,,,,Talla,L,,,,color,NEGRO,,,
23002SB,variation,,PANTY TIPO TANGA BLANCA - S,1,,visible,,,taxable,parent,1,3,,,,,,28000,SHORT Y PANTALON,,,,,Talla,S,,,,color,BLANCO,,,
23002MB,variation,,PANTY TIPO TANGA BLANCA - M,1,,visible,,,taxable,parent,1,3,,,,,,28000,SHORT Y PANTALON,,,,,Talla,M,,,,color,BLANCO,,,
23002LB,variation,,PANTY TIPO TANGA BLANCA - L,1,,visible,,,taxable,parent,1,4,,,,,,28000,SHORT Y PANTALON,,,,,Talla,L,,,,color,BLANCO,,,
12008,variable,,TOP TRIÁNGULO ELÁSTICO,1,,visible,,Top en lycra con copas en triangulo forradas con elastico contramarcado con POLEMIK,taxable,parent,1,,,,,,,,TOPS Y CAMISETAS,,,12008F/ 12008F1/ 12008F2/ 12008FP,,Talla,"S,M,L",1,,M,color,"NEGRO, BLANCO",1,,
12008SN,variation,,TOP TRIÁNGULO ELÁSTICO NEGRO - S,1,,visible,,,taxable,parent,1,1,,,,,,30000,TOPS Y CAMISETAS,,,,,Talla,S,,,,color,NEGRO,,,
12008MN,variation,,TOP TRIÁNGULO ELÁSTICO NEGRO - M,1,,visible,,,taxable,parent,1,4,,,,,,30000,TOPS Y CAMISETAS,,,,,Talla,M,,,,color,NEGRO,,,
12008LN,variation,,TOP TRIÁNGULO ELÁSTICO NEGRO - L,1,,visible,,,taxable,parent,1,4,,,,,,30000,TOPS Y CAMISETAS,,,,,Talla,L,,,,color,NEGRO,,,
12008SB,variation,,TOP TRIÁNGULO ELÁSTICO BLANCO - S,1,,visible,,,taxable,parent,1,2,,,,,,30000,TOPS Y CAMISETAS,,,,,Talla,S,,,,color,BLANCO,,,
12008MB,variation,,TOP TRIÁNGULO ELÁSTICO BLANCO - M,1,,visible,,,taxable,parent,1,3,,,,,,30000,TOPS Y CAMISETAS,,,,,Talla,M,,,,color,BLANCO,,,
12008LB,variation,,TOP TRIÁNGULO ELÁSTICO BLANCO - L,1,,visible,,,taxable,parent,1,4,,,,,,30000,TOPS Y CAMISETAS,,,,,Talla,L,,,,color,BLANCO,,,
13018,variable,,CHOMPA CROP CINTURA AJUSTABLE,1,,visible,,"Chompa crop en perchado, puños en material tejido, cintura con corsón elástico ajustable y estampado en alto relieve en frente.",taxable,parent,1,,,,,,,,BUZOS Y CHOMPAS,,,13018F/ 13018F2/ 13018E/ 13018FP/ 13018FPD,,Talla,"S,M,L",1,,M,color,NEGRO,1,,
13018S,variation,,CHOMPA CROP CINTURA AJUSTABLE -S,1,,visible,,,taxable,parent,1,4,,,,,,70000,BUZOS Y CHOMPAS,,,,,Talla,S,,,,color,NEGRO,,,
13018M,variation,,CHOMPA CROP CINTURA AJUSTABLE - M,1,,visible,,,taxable,parent,1,4,,,,,,70000,BUZOS Y CHOMPAS,,,,,Talla,M,,,,color,NEGRO,,,
13018L,variation,,CHOMPA CROP CINTURA AJUSTABLE - L,1,,visible,,,taxable,parent,1,4,,,,,,70000,BUZOS Y CHOMPAS,,,,,Talla,L,,,,color,NEGRO,,,
11022,variable,,CROP BASIC POLEMIK,1,,visible,,Crop básico en algodón con estampado alto relieve en frente.,taxable,parent,1,,,,,,,,TOPS Y CAMISETAS,,,11022F/ 11022E/ 11022FP,,Talla,"S,M,L",1,,M,color,NEGRO,1,,
11022SN,variation,,CROP BASIC POLEMIK NEGRO - S,1,,visible,,,taxable,parent,1,8,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,S,,,,color,NEGRO,,,
11022MN,variation,,CROP BASIC POLEMIK NEGRO - M,1,,visible,,,taxable,parent,1,8,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,M,,,,color,NEGRO,,,
11022LN,variation,,CROP BASIC POLEMIK NEGRO - L,1,,visible,,,taxable,parent,1,8,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,L,,,,color,NEGRO,,,
